,business_id,name,address,postal_code,city,stars_y,review_count,ice cream/egg waffles,pork belly/kimchi fries/ ramen places,mac cheese/ fish tacos,fried chicken/ deep fried,green tea/ red bean/cheesecake
0,-av1lZI1JDY_RZN2eTMnWg,Salad King Restaurant,340 Yonge Street,M5B 1R8,Toronto,3.5,876,0.019575118387036485,0.024264197144271714,0.878158235491901,0.016790088903595728,0.007879026739861536
1,0J_NiF5Lb0bFM5v6ZY-uGw,Zet's Restaurant,6445 Airport Road,L4V 1Y4,Mississauga,4.0,333,0.017625919176486853,0.022930757186009357,0.8362539759797675,0.061339353369863625,0.024812957250835627
2,0a2O150ytxrDjDzXNfRWkA,Miku,105-10 Bay Street,M5J 2R8,Toronto,4.0,604,0.044316971774332255,0.02667623359284933,0.6032012748764842,0.021654390805696783,0.2383616552664268
3,0v8icS8wOOgEDiHDCOQkZQ,Chilli Chicken House,"4040 Creditview Road, Unit 25",L5C,Mississauga,4.0,320,0.0236978884613081,0.03930412294115573,0.6775922193239978,0.06632178676793292,0.035189245663500096
4,2Q89PhkcyT9uZnQORmqMKg,House of Gourmet,484 Dundas St W,M5T 1G9,Toronto,3.5,345,0.02635230445148153,0.034681634533933775,0.8275565145742214,0.05477676293087222,0.028061354938062402
5,3uIXuw878fNjxZ2Li1diFg,The Hogtown Vegan,1056 Bloor St. W,M6H 1M3,Toronto,4.0,384,0.06956033818605203,0.022799532942741584,0.7867212462044367,0.0952716693458935,0.010721840186547827
6,4DLsC4BTUoEqFGusetQVlQ,La Carnita,106 John Street,M5H 1X9,Toronto,3.5,317,0.0630572010324203,0.054040745785893456,0.7917998850845642,0.052608206277611,0.016754831384728056
7,4MQaqhBUJCpghGukSWNq7w,The Loose Moose,146 Front Street West,M5J 1G2,Toronto,3.5,334,0.009905554790892895,0.032557526058244704,0.8660054877760317,0.028568128817893907,0.01358058650755436
8,4m_hApwQ054v3ue_OxFmGw,Patria,480 King Street W,M5V 1L7,Toronto,4.0,416,0.020627686290662483,0.04614486384025487,0.8650755639623489,0.021124797525307985,0.04702708838142588
9,5XVabANkehj7oH-Z7YZkwg,Alchemy Coffee,"4361 Highway 7 E, Unit 1",L3R 1M1,Markham,4.0,390,0.03374845064927585,0.12540155057397348,0.5710684026153304,0.10820967605514911,0.08910815199032902
10,5aeOewSy4RiI8sLLWpeNGA,Pablo Cheesetart Canada,114 Dundas St W,M5G 1C3,Toronto,3.0,308,0.1766466225653539,0.01493593586305696,0.44352045659241435,0.0030741327545210973,0.3335209654322007
11,6EVBc9kdc3Hd8KZkLVPnGA,Kaiju,"384 Yonge Street, Unit 51",M5B,Toronto,4.5,366,0.03568275352224003,0.048792849918104605,0.6334513614045033,0.15990573985829745,0.08990923078072548
12,6ZsiLiSWGK2pgw6t3LfzNQ,Donburi,"505 Highway 7 E, Unit 93-95",L3T 7T1,Markham,3.5,342,0.13173548176410027,0.027057069383001127,0.5415433630218429,0.11739446052008326,0.13732580508625328
13,73_UT7fZ7mzXcguX8-oSuQ,Amsterdam BrewHouse,245 Queens Quay W,M5J 2K9,Toronto,3.5,584,0.018288750502482715,0.022724350411934553,0.8671974387589121,0.02514453853254197,0.014696869846076295
14,7oEKIG7d1ttPRejppZ3WIA,Lady Marmalade,898 Queen Street E,M4M 1J3,Toronto,4.0,456,0.013502319894353408,0.018056243553691106,0.8775677856257372,0.01878329786921535,0.027314233654017847
15,8I5U8OQ06nSxX2y4PPOWzQ,Japango,122 Elizabeth Street,M5G 1P5,Toronto,3.5,643,0.047993918247993594,0.03071449222754493,0.7397641392657038,0.022815570064323522,0.09053006201261603
16,8MWiywu09bhLWIpzVaD4gw,Aunties & Uncles,74 Lippincott Street,M5S 2P1,Toronto,3.5,333,0.012658870775967926,0.015433841418881131,0.89664732725233,0.025794786086272458,0.024148718770346068
17,8YG7PRoZuHeKii0rtNvJFQ,Dragon Boat Fusion Cuisine,"160 E Beaver Creek Road, Suite 4-6",L4B 4A7,Richmond Hill,3.5,457,0.03471787959404689,0.026226834343527777,0.8031585847584548,0.047907120119737925,0.042535035729687296
18,9Eghhu_LzEJgDKNgisf3rg,SCADDABUSH Italian Kitchen & Bar,"382 Yonge Street, Unit #7",M5B 1S8,Toronto,3.5,408,0.045463878332128026,0.029217239716044438,0.8699259322509699,0.03861135087055252,0.016781598830305246
19,9ot8oInkYZTt6wkkGe__vQ,Auberge du Pommier,4150 Yonge Street,M2P 2C6,Toronto,4.0,319,0.10622521064553404,0.018261025500909196,0.757247953757262,0.024157393609874515,0.03160841648642023
20,9tfw-OEfpF0qC2hSzRks6g,Hair of the Dog,425 Church Street,M4Y 2C3,Toronto,4.0,301,0.02015039869219243,0.017237727141804486,0.8370943333511696,0.11430127088767209,0.011216269927161649
21,A7waf6G3cvnLfAqKeLL8DA,Buca,604 King Street W,M5V 1M6,Toronto,4.0,392,0.02583650567491669,0.02293763352662696,0.8771086626126976,0.019797450636175506,0.018605461835297456
22,ABRgXNwdOX_JyqChNr8IYw,Swatow Restaurant,309 Spadina Avenue,M5T 2E6,Toronto,4.0,312,0.0077466536620007884,0.04315958608380015,0.811539092500927,0.0317112171057684,0.01209345064750356
23,B70iTJjcPkuYn8ouUewWgw,Gusto 101,101 Portland Street,M5V 2N3,Toronto,4.0,836,0.022578224780064347,0.018040948258213566,0.8783202972005764,0.039114083346821336,0.026794931262809265
